route_long_name,direction_id,stop_sequence,stop_id,stop_lat,stop_lon,Branch
Franklin Line,1,15,Talbot Avenue,42.292246,-71.07814,Secondary
Franklin Line,1,16,Uphams Corner,42.31867,-71.069072,Secondary
Franklin Line,1,17,South Station,42.352614,-71.055364,Trunk
Greenbush Line,0,1,South Station,42.352614,-71.055364,Trunk
Greenbush Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
Greenbush Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
Greenbush Line,0,4,Weymouth Landing/ East Braintree,42.2208,-70.9682,Trunk
Greenbush Line,0,5,East Weymouth,42.2191,-70.9214,Trunk
Greenbush Line,0,6,West Hingham,42.2367,-70.9031,Trunk
Greenbush Line,0,7,Nantasket Junction,42.2452,-70.8698,Trunk
Greenbush Line,0,8,Cohasset,42.2424,-70.837,Trunk
Greenbush Line,0,9,North Scituate,42.2197,-70.7877,Trunk
Greenbush Line,0,10,Greenbush,42.1781,-70.7462,Trunk
Greenbush Line,1,1,Greenbush,42.1781,-70.7462,Trunk
Greenbush Line,1,2,North Scituate,42.2197,-70.7877,Trunk
Greenbush Line,1,3,Cohasset,42.2424,-70.837,Trunk
Greenbush Line,1,4,Nantasket Junction,42.2452,-70.8698,Trunk
Greenbush Line,1,5,West Hingham,42.2367,-70.9031,Trunk
Greenbush Line,1,6,East Weymouth,42.2191,-70.9214,Trunk
Greenbush Line,1,7,Weymouth Landing/ East Braintree,42.2208,-70.9682,Trunk
Greenbush Line,1,8,Quincy Center,42.250862,-71.004843,Trunk
Greenbush Line,1,9,JFK/UMASS,42.321123,-71.052555,Trunk
Greenbush Line,1,10,South Station,42.352614,-71.055364,Trunk
Haverhill Line,0,1,North Station,42.365551,-71.061251,Trunk
Haverhill Line,0,2,West Medford,42.421184,-71.132468,Secondary
Haverhill Line,0,2,Malden Center,42.426407,-71.074227,Primary
Haverhill Line,0,3,Wyoming Hill,42.452097,-71.069518,Primary
Haverhill Line,0,3,Wedgemere,42.445284,-71.140909,Secondary
Haverhill Line,0,4,Melrose Cedar Park,42.459128,-71.069448,Primary
Haverhill Line,0,4,Winchester Center,42.45265,-71.137041,Secondary
Haverhill Line,0,5,Anderson/ Woburn,42.518082,-71.13865,Secondary
Haverhill Line,0,5,Melrose Highlands,42.468793,-71.06827,Primary
Haverhill Line,0,6,Greenwood,42.483473,-71.067233,Primary
Haverhill Line,0,6,Wilmington,42.546368,-71.173569,Secondary
Haverhill Line,0,7,Wakefield,42.501811,-71.075,Primary
Haverhill Line,0,8,Reading,42.52148,-71.10744,Primary
Haverhill Line,0,11,North Wilmington,42.568462,-71.159724,Primary
Haverhill Line,0,12,Ballardvale,42.626449,-71.159653,Trunk
Haverhill Line,0,13,Andover,42.657798,-71.144513,Trunk
Haverhill Line,0,14,Lawrence,42.70185,-71.151967,Trunk
Haverhill Line,0,15,Bradford,42.768899,-71.085998,Trunk
Haverhill Line,0,16,Haverhill,42.772684,-71.085962,Trunk
Haverhill Line,1,1,Haverhill,42.772684,-71.085962,Trunk
Haverhill Line,1,2,Bradford,42.768899,-71.085998,Trunk
Haverhill Line,1,3,Lawrence,42.70185,-71.151967,Trunk
Haverhill Line,1,4,Andover,42.657798,-71.144513,Trunk
Haverhill Line,1,5,Ballardvale,42.626449,-71.159653,Trunk
Haverhill Line,1,6,North Wilmington,42.568462,-71.159724,Trunk
Haverhill Line,1,7,Wilmington,42.546368,-71.173569,Secondary
Haverhill Line,1,8,Anderson/ Woburn,42.518082,-71.13865,Secondary
Haverhill Line,1,9,Winchester Center,42.45265,-71.137041,Secondary
Haverhill Line,1,9,Reading,42.52148,-71.10744,Primary
Haverhill Line,1,10,Wedgemere,42.445284,-71.140909,Secondary
Haverhill Line,1,10,Wakefield,42.501811,-71.075,Primary
Haverhill Line,1,11,Greenwood,42.483473,-71.067233,Primary
Haverhill Line,1,11,West Medford,42.421184,-71.132468,Secondary
Haverhill Line,1,12,Melrose Highlands,42.468793,-71.06827,Primary
Haverhill Line,1,13,Melrose Cedar Park,42.459128,-71.069448,Primary
Haverhill Line,1,14,Wyoming Hill,42.452097,-71.069518,Primary
Haverhill Line,1,15,Malden Center,42.426407,-71.074227,Primary
Haverhill Line,1,16,North Station,42.365551,-71.061251,Trunk
Kingston/Plymouth Line,0,1,South Station,42.352614,-71.055364,Trunk
Kingston/Plymouth Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
Kingston/Plymouth Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
Kingston/Plymouth Line,0,4,Braintree,42.20855,-71.00085,Trunk
Kingston/Plymouth Line,0,11,South Weymouth,42.153747,-70.95249,Trunk
Kingston/Plymouth Line,0,12,Abington,42.108034,-70.935296,Trunk
Kingston/Plymouth Line,0,13,Whitman,42.083563,-70.923204,Trunk
Kingston/Plymouth Line,0,14,Hanson,42.043262,-70.881553,Trunk
Kingston/Plymouth Line,0,15,Halifax,42.012867,-70.820832,Trunk
Kingston/Plymouth Line,0,17,Plymouth,41.981184,-70.692514,Secondary
Kingston/Plymouth Line,0,17,Kingston,41.978548,-70.720315,Primary
Kingston/Plymouth Line,1,2,Plymouth,41.981184,-70.692514,Secondary
Kingston/Plymouth Line,1,2,Kingston,41.978548,-70.720315,Primary
Kingston/Plymouth Line,1,3,Halifax,42.012867,-70.820832,Trunk
Kingston/Plymouth Line,1,4,Hanson,42.043262,-70.881553,Trunk
Kingston/Plymouth Line,1,5,Whitman,42.083563,-70.923204,Trunk
Kingston/Plymouth Line,1,6,Abington,42.108034,-70.935296,Trunk
Kingston/Plymouth Line,1,7,South Weymouth,42.153747,-70.95249,Trunk
Kingston/Plymouth Line,1,14,Braintree,42.20855,-71.00085,Trunk
Kingston/Plymouth Line,1,15,Quincy Center,42.250862,-71.004843,Trunk
Kingston/Plymouth Line,1,16,JFK/UMASS,42.321123,-71.052555,Trunk
Kingston/Plymouth Line,1,17,South Station,42.352614,-71.055364,Trunk
Lowell Line,0,1,North Station,42.365551,-71.061251,Trunk
Lowell Line,0,2,West Medford,42.421184,-71.132468,Trunk
Lowell Line,0,3,Wedgemere,42.445284,-71.140909,Trunk
Lowell Line,0,4,Winchester Center,42.45265,-71.137041,Trunk
Lowell Line,0,5,Mishawum,42.503595,-71.137511,Trunk
Lowell Line,0,6,Anderson/ Woburn,42.518082,-71.13865,Trunk
Lowell Line,0,7,Wilmington,42.546368,-71.173569,Trunk
Lowell Line,0,9,North Billerica,42.592881,-71.280869,Trunk
Lowell Line,0,10,Lowell,42.638402,-71.314916,Trunk
Lowell Line,1,1,Lowell,42.638402,-71.314916,Trunk
Lowell Line,1,2,North Billerica,42.592881,-71.280869,Trunk
Lowell Line,1,4,Wilmington,42.546368,-71.173569,Trunk
Lowell Line,1,5,Anderson/ Woburn,42.518082,-71.13865,Trunk
Lowell Line,1,6,Mishawum,42.503595,-71.137511,Trunk
Lowell Line,1,7,Winchester Center,42.45265,-71.137041,Trunk
Lowell Line,1,8,Wedgemere,42.445284,-71.140909,Trunk
Lowell Line,1,9,West Medford,42.421184,-71.132468,Trunk
Lowell Line,1,10,North Station,42.365551,-71.061251,Trunk
Middleborough/Lakeville Line,0,1,South Station,42.352614,-71.055364,Trunk
Middleborough/Lakeville Line,0,2,JFK/UMASS,42.321123,-71.052555,Trunk
Middleborough/Lakeville Line,0,3,Quincy Center,42.250862,-71.004843,Trunk
Middleborough/Lakeville Line,0,4,Braintree,42.20855,-71.00085,Trunk
Middleborough/Lakeville Line,0,5,Holbrook/ Randolph,42.155314,-71.027518,Trunk
Middleborough/Lakeville Line,0,6,Montello,42.106047,-71.021078,Trunk
Middleborough/Lakeville Line,0,7,Brockton,42.08572,-71.01686,Trunk
Middleborough/Lakeville Line,0,8,Campello,42.060038,-71.01246,Trunk
Middleborough/Lakeville Line,0,9,Bridgewater,41.986355,-70.966625,Trunk
Middleborough/Lakeville Line,0,10,Middleboro/ Lakeville,41.87821,-70.918444,Trunk
Middleborough/Lakeville Line,1,8,Middleboro/ Lakeville,41.87821,-70.918444,Trunk
Middleborough/Lakeville Line,1,9,Bridgewater,41.986355,-70.966625,Trunk
Middleborough/Lakeville Line,1,10,Campello,42.060038,-71.01246,Trunk
Middleborough/Lakeville Line,1,11,Brockton,42.08572,-71.01686,Trunk
Middleborough/Lakeville Line,1,12,Montello,42.106047,-71.021078,Trunk
Middleborough/Lakeville Line,1,13,Holbrook/ Randolph,42.155314,-71.027518,Trunk
Middleborough/Lakeville Line,1,14,Braintree,42.20855,-71.00085,Trunk
Middleborough/Lakeville Line,1,15,Quincy Center,42.250862,-71.004843,Trunk
Middleborough/Lakeville Line,1,16,JFK/UMASS,42.321123,-71.052555,Trunk
Middleborough/Lakeville Line,1,17,South Station,42.352614,-71.055364,Trunk
Needham Line,0,1,South Station,42.352614,-71.055364,Trunk
Needham Line,0,2,Back Bay,42.347158,-71.075769,Trunk
Needham Line,0,3,Ruggles,42.335545,-71.090524,Trunk
Needham Line,0,4,Forest Hills,42.300023,-71.113377,Trunk
Needham Line,0,5,Roslindale Village,42.287206,-71.12961,Trunk
Needham Line,0,6,Bellevue,42.287138,-71.14606,Trunk
Needham Line,0,7,Highland,42.284869,-71.1547,Trunk
Needham Line,0,8,West Roxbury,42.2816,-71.159932,Trunk
Needham Line,0,9,Hersey,42.275842,-71.214853,Trunk
Needham Line,0,10,Needham Junction,42.273327,-71.238007,Trunk
Needham Line,0,11,Needham Center,42.280274,-71.238089,Trunk
Needham Line,0,12,Needham Heights,42.293139,-71.235087,Trunk
Needham Line,1,1,Needham Heights,42.293139,-71.235087,Trunk
Needham Line,1,2,Needham Center,42.280274,-71.238089,Trunk
Needham Line,1,3,Needham Junction,42.273327,-71.238007,Trunk
Needham Line,1,4,Hersey,42.275842,-71.214853,Trunk
Needham Line,1,5,West Roxbury,42.2816,-71.159932,Trunk
Needham Line,1,6,Highland,42.284869,-71.1547,Trunk
Needham Line,1,7,Bellevue,42.287138,-71.14606,Trunk
Needham Line,1,8,Roslindale Village,42.287206,-71.12961,Trunk
Needham Line,1,9,Forest Hills,42.300023,-71.113377,Trunk
Needham Line,1,10,Ruggles,42.335545,-71.090524,Trunk
Needham Line,1,11,Back Bay,42.347158,-71.075769,Trunk
Needham Line,1,12,South Station,42.352614,-71.055364,Trunk
Newburyport/Rockport Line,0,1,North Station,42.365551,-71.061251,Trunk
Newburyport/Rockport Line,0,2,Chelsea,42.395661,-71.034826,Trunk
Newburyport/Rockport Line,0,3,River Works,42.453804,-70.975698,Trunk
Newburyport/Rockport Line,0,4,Lynn,42.462293,-70.947794,Trunk
Newburyport/Rockport Line,0,5,Swampscott,42.473739,-70.922036,Trunk
Newburyport/Rockport Line,0,6,Salem,42.523927,-70.898903,Trunk
Newburyport/Rockport Line,0,7,Beverly,42.546907,-70.885168,Trunk
Newburyport/Rockport Line,0,8,North Beverly,42.582471,-70.884501,Secondary
Newburyport/Rockport Line,0,9,Hamilton/ Wenham,42.610756,-70.874005,Secondary
Newburyport/Rockport Line,0,10,Ipswich,42.678355,-70.840024,Secondary
Newburyport/Rockport Line,0,11,Rowley,42.725351,-70.859436,Secondary
Newburyport/Rockport Line,0,12,Newburyport,42.800292,-70.880262,Secondary
Newburyport/Rockport Line,0,13,Montserrat,42.561483,-70.870035,Primary
Newburyport/Rockport Line,0,14,Prides Crossing,42.559513,-70.824813,Primary
Newburyport/Rockport Line,0,15,Beverly Farms,42.561403,-70.812745,Primary
Newburyport/Rockport Line,0,16,Manchester,42.57357,-70.770473,Primary
Newburyport/Rockport Line,0,17,West Gloucester,42.610928,-70.706456,Primary
Newburyport/Rockport Line,0,18,Gloucester,42.616069,-70.668767,Primary
Newburyport/Rockport Line,0,19,Rockport,42.656173,-70.625616,Primary
Newburyport/Rockport Line,1,1,Rockport,42.656173,-70.625616,Primary
Newburyport/Rockport Line,1,2,Gloucester,42.616069,-70.668767,Primary
Newburyport/Rockport Line,1,3,West Gloucester,42.610928,-70.706456,Primary
Newburyport/Rockport Line,1,4,Manchester,42.57357,-70.770473,Primary
Newburyport/Rockport Line,1,5,Beverly Farms,42.561403,-70.812745,Primary
Newburyport/Rockport Line,1,6,Prides Crossing,42.559513,-70.824813,Primary
Newburyport/Rockport Line,1,7,Montserrat,42.561483,-70.870035,Primary
Newburyport/Rockport Line,1,8,Newburyport,42.800292,-70.880262,Secondary
Newburyport/Rockport Line,1,9,Rowley,42.725351,-70.859436,Secondary
Newburyport/Rockport Line,1,10,Ipswich,42.678355,-70.840024,Secondary
Newburyport/Rockport Line,1,11,Hamilton/ Wenham,42.610756,-70.874005,Secondary
Newburyport/Rockport Line,1,12,North Beverly,42.582471,-70.884501,Secondary
Newburyport/Rockport Line,1,13,Beverly,42.546907,-70.885168,Trunk
Newburyport/Rockport Line,1,14,Salem,42.523927,-70.898903,Trunk
Newburyport/Rockport Line,1,15,Swampscott,42.473739,-70.922036,Trunk
Newburyport/Rockport Line,1,16,Lynn,42.462293,-70.947794,Trunk
Newburyport/Rockport Line,1,17,River Works,42.453804,-70.975698,Trunk
Newburyport/Rockport Line,1,18,Chelsea,42.395661,-71.034826,Trunk
Newburyport/Rockport Line,1,19,North Station,42.365551,-71.061251,Trunk
Providence/Stoughton Line,0,1,South Station,42.352614,-71.055364,Trunk
Providence/Stoughton Line,0,2,Back Bay,42.347158,-71.075769,Trunk
Providence/Stoughton Line,0,3,Ruggles,42.335545,-71.090524,Trunk
Providence/Stoughton Line,0,4,Hyde Park,42.255121,-71.125022,Trunk
Providence/Stoughton Line,0,5,Route 128,42.209884,-71.1471,Trunk
Providence/Stoughton Line,0,6,Canton Junction,42.163423,-71.153374,Trunk
Providence/Stoughton Line,0,7,Canton Center,42.156769,-71.14553,Secondary
Providence/Stoughton Line,0,8,Stoughton,42.123818,-71.10309,Secondary
Providence/Stoughton Line,0,9,Sharon,42.124804,-71.183213,Primary
Providence/Stoughton Line,0,10,Mansfield,42.032734,-71.219318,Primary
Providence/Stoughton Line,0,11,Attleboro,41.942097,-71.284897,Primary
Providence/Stoughton Line,0,12,South Attleboro,41.897943,-71.354621,Primary
Providence/Stoughton Line,0,13,Providence,41.829641,-71.413332,Primary
Providence/Stoughton Line,0,14,TF Green Airport,41.726599,-71.442453,Primary
Providence/Stoughton Line,0,15,Wickford Junction,41.5808,-71.4914,Primary
Providence/Stoughton Line,1,1,Wickford Junction,41.5808,-71.4914,Primary
Providence/Stoughton Line,1,2,TF Green Airport,41.726599,-71.442453,Primary
Providence/Stoughton Line,1,3,Providence,41.829641,-71.413332,Primary
Providence/Stoughton Line,1,4,South Attleboro,41.897943,-71.354621,Primary
Providence/Stoughton Line,1,5,Attleboro,41.942097,-71.284897,Primary
Providence/Stoughton Line,1,6,Mansfield,42.032734,-71.219318,Primary
Providence/Stoughton Line,1,7,Sharon,42.124804,-71.183213,Primary
Providence/Stoughton Line,1,8,Stoughton,42.123818,-71.10309,Secondary
Providence/Stoughton Line,1,9,Canton Center,42.156769,-71.14553,Secondary
Providence/Stoughton Line,1,10,Canton Junction,42.163423,-71.153374,Trunk
Providence/Stoughton Line,1,11,Route 128,42.209884,-71.1471,Trunk
Providence/Stoughton Line,1,12,Hyde Park,42.255121,-71.125022,Trunk
Providence/Stoughton Line,1,13,Ruggles,42.335545,-71.090524,Trunk
Providence/Stoughton Line,1,14,Back Bay,42.347158,-71.075769,Trunk
Providence/Stoughton Line,1,15,South Station,42.352614,-71.055364,Trunk
